"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","Z jakich form nauki korzystasz?","Jak oceniasz poziom nauki informatyki w szkole?","Czy uważasz, że twój nauczyciel/ka z informatyki miał/a wystarczające kwalifikacje do nauki tego przedmiotu?","Które zagadnienia były omawiane na Twoich lekcjach informatyki? ","Czy uważasz, że darmowa platforma e-learningowa pomagająca w nauce do matury z informatyki jest potrzebna?","Czy przystępowałeś już do egzaminu maturalnego?","Czy roważałeś/aś kiedykolwiek związanie swojej kariery zawodowej z branżą IT?","Czy rozważałeś/aś podejście do matury w przyszłości?","Czy przystępowałeś do matury z informatyki?","Jeśli nie przystępowałeś do matury z informatyki, to dlaczego?","Do klasy o jakim profilu chodzisz?","Czy rozważasz swoją przyszłą karierę w IT?","Jakie przedmioty rozszerzone planujesz wybrać?","Czy uważasz, że zajęcia w szkole wystarczą do dobrego przygotowania do matury z informatyki?","Czy miałeś/aś możliwość wybrania rozszerzenia z informatyki? Czy w Twojej szkole istnieje klasa o profilu informatycznym?","Czy korzystasz z korepetycji z informatyki?","Jak często korzystałeś/aś lub korzystasz z podręcznika do informatyki?","Przygotowując się do tej matury jak często korzystałeś/aś lub korzystasz z materiałów dostępnych w internecie?","Jak oceniasz dostępność i jakość materiałów do nauki do matury z informatyki?","Czy materiały z których korzystasz są dostępne bezpłatnie?"
"2022/12/30 5:21:05 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Tak","","","Tak","","","","","","","Nie","2","4","3","W większości tak"
"2022/12/30 5:27:12 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, ale nie sam bym z niej nie korzystał/a","","","","Nie","Nie była wymagana na moim kierunku studiów","","","","","","","","","",""
"2022/12/30 5:28:10 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale nie sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","5","5","Tak"
"2022/12/30 5:29:30 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Tutoriale na YT;Korepetycje;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, ale nie sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka","Nie","Tak","Nie","1","3","4","W większości tak"
"2022/12/30 5:31:20 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","biol-chem / mat-biol / mat-chem","Może","Biologia, chemia ","Nie","Tak","Nie","3","4","3","Różnie"
"2022/12/30 5:31:26 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Strony i platformy e-learningowe","4","Nie","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale nie sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","2","1","W większości tak"
"2022/12/30 5:32:25 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nie była to dziedzina interesująca mnie ani potrzebna do rekrutacji na studia","","","","","","","","","",""
"2022/12/30 5:34:17 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Nie, jest wystarczająco dużo takich platform","","","","Nie","Bo nie widziałam się w tej profesji, aktualnie jestem programistką 😁","","","","","","","","","",""
"2022/12/30 5:35:32 PM CET","Wolę nie podawać","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Sieci komputerowe","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Wynik z matury z informatyki nie był mi potrzebny w dalszej rekrutacji na studia.","","","","","","","","","",""
"2022/12/30 5:37:22 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Ponieważ wiedza, którą dostałam na zajęciach była niewystarczająca do dobrego zdania tej matury","","","","","","","","","",""
